net,sta,lat,lon,on,off,area,z,e,n,elev
CI,AVM,35.06562,-116.61549,2017-06-18,,ca_fewer,BHZ,BHE,BHN,708.5
CI,CCA,35.15252,-118.01649,2017-06-15,,ca_fewer,BHZ,BHE,BHN,710
CI,CCC,35.52495,-117.36453,2018-06-22,,ca_fewer,BHZ,BHE,BHN,670
CI,CGO,36.5504,-117.80295,2014-08-09,,ca_fewer,BHZ,BHE,BHN,2795
CI,CLC,35.81574,-117.59751,2018-10-01,,ca_fewer,BHZ,BHE,BHN,775
CI,CWC,36.43988,-118.08016,2018-10-01,,ca_fewer,BHZ,BHE,BHN,1595
CI,DAW,36.27148,-117.59214,2018-10-01,,ca_fewer,BHZ,BHE,BHN,0
CI,DTP,35.26742,-117.84581,2018-10-16,,ca_fewer,BHZ,BHE,BHN,908
CI,EDW2,34.8811,-117.99388,2018-10-03,,ca_fewer,BHZ,BHE,BHN,772
CI,GSC,35.30177,-116.80574,2014-08-09,,ca_fewer,BHZ,BHE,BHN,1000
CI,HAR,35.0114,-117.29909,2015-12-31,,ca_fewer,BHZ,BHE,BHN,620
CI,HYS,34.86532,-117.56975,2018-11-08,,ca_fewer,BHZ,BHE,BHN,833
CI,ISA,35.66278,-118.47403,2013-10-26,,ca_fewer,BHZ,BHE,BHN,873
CI,JRC2,35.98249,-117.80885,2014-07-26,,ca_fewer,BHZ,BHE,BHN,1469
CI,LDR,34.9906,-118.34156,2016-08-24,,ca_fewer,BHZ,BHE,BHN,1121
CI,LMR2,34.93439,-117.69629,2013-10-27,,ca_fewer,BHZ,BHE,BHN,964
CI,LRL,35.47954,-117.68212,2013-12-22,,ca_fewer,BHZ,BHE,BHN,1340
CI,MPM,36.05799,-117.48901,2013-12-26,,ca_fewer,BHZ,BHE,BHN,1839
CI,RRX,34.87533,-116.99684,2013-12-30,,ca_fewer,BHZ,BHE,BHN,676.2
CI,SLA,35.89095,-117.28332,2014-01-03,,ca_fewer,BHZ,BHE,BHN,1174
CI,SRT,35.69235,-117.75051,2014-01-05,,ca_fewer,BHZ,BHE,BHN,667
CI,TEH,35.2913,-118.42079,2014-01-07,,ca_fewer,BHZ,BHE,BHN,846
CI,TOW2,35.80856,-117.76488,2014-01-09,,ca_fewer,BHZ,BHE,BHN,685
CI,WAS2,35.7377,-118.55743,2014-01-15,,ca_fewer,BHZ,BHE,BHN,1828
CI,WBM,35.60839,-117.89049,2014-01-16,,ca_fewer,BHZ,BHE,BHN,892
CI,WBS,35.53664,-118.14035,2014-01-17,,ca_fewer,BHZ,BHE,BHN,1927
CI,WCS2,36.02521,-117.76526,2014-01-18,,ca_fewer,BHZ,BHE,BHN,1143
CI,WHF,35.69513,-118.35183,2014-01-19,,ca_fewer,BHZ,BHE,BHN,859
CI,WMF,36.11758,-117.85486,2014-01-20,,ca_fewer,BHZ,BHE,BHN,1537.4
CI,WOR,35.69563,-118.24246,2014-01-21,,ca_fewer,BHZ,BHE,BHN,795
CI,WRC2,35.9479,-117.65038,2014-01-22,,ca_fewer,BHZ,BHE,BHN,943
CI,ADO,34.55046,-117.43391,2017-08-02,,ca,BHZ,BHE,BHN,908
CI,ALP,34.68708,-118.29946,2017-06-14,,ca,BHZ,BHE,BHN,753
CI,ARV,35.1269,-118.83009,2017-06-18,,ca,BHZ,BHE,BHN,258
CI,AVM,35.06562,-116.61549,2017-06-18,,ca,BHZ,BHE,BHN,708.5
CI,BAK,35.34444,-119.10445,2017-06-14,,ca,BHZ,BHE,BHN,116
CI,BFS,34.23883,-117.65853,2017-06-16,,ca,BHZ,BHE,BHN,1312
CI,BTP,34.68224,-118.57398,2017-06-17,,ca,BHZ,BHE,BHN,1702
CI,CCA,35.15252,-118.01649,2017-06-15,,ca,BHZ,BHE,BHN,710
CI,CCC,35.52495,-117.36453,2018-06-22,,ca,BHZ,BHE,BHN,670
CI,CGO,36.5504,-117.80295,2014-08-09,,ca,BHZ,BHE,BHN,2795
CI,CHF,34.33341,-118.02585,2013-02-28,,ca,BHZ,BHE,BHN,1594
CI,CJM,34.27117,-117.42448,2018-10-01,,ca,BHZ,BHE,BHN,1616
CI,CJV2,34.52978,-118.1445,2018-10-01,,ca,BHZ,BHE,BHN,1296
CI,CLC,35.81574,-117.59751,2018-10-01,,ca,BHZ,BHE,BHN,775
CI,CWC,36.43988,-118.08016,2018-10-01,,ca,BHZ,BHE,BHN,1595
CI,DAW,36.27148,-117.59214,2018-10-01,,ca,BHZ,BHE,BHN,0
CI,DSC,35.14255,-116.10395,2018-10-01,,ca,BHZ,BHE,BHN,283
CI,DTP,35.26742,-117.84581,2018-10-16,,ca,BHZ,BHE,BHN,908
CI,EDW2,34.8811,-117.99388,2018-10-03,,ca,BHZ,BHE,BHN,772
CI,FDR,35.64262,-118.93433,2018-10-16,,ca,BHZ,BHE,BHN,350
CI,FOX2,34.7339,-118.24046,2017-09-17,,ca,BHZ,BHE,BHN,719.7
CI,FUR,36.46719,-116.86322,2014-08-18,,ca,BHZ,BHE,BHN,-38
CI,GRA,36.99608,-117.36621,2013-02-28,,ca,BHZ,BHE,BHN,689
CI,GSC,35.30177,-116.80574,2014-08-09,,ca,BHZ,BHE,BHN,1000
CI,HAR,35.0114,-117.29909,2015-12-31,,ca,BHZ,BHE,BHN,620
CI,HDH,34.7753,-118.64,2014-07-24,,ca,BHZ,BHE,BHN,964.6
CI,HEC,34.8294,-116.335,2014-07-23,,ca,BHZ,BHE,BHN,920
CI,HOL,34.45831,-117.84539,2016-07-12,,ca,BHZ,BHE,BHN,1267
CI,HYS,34.86532,-117.56975,2018-11-08,,ca,BHZ,BHE,BHN,833
CI,ISA,35.66278,-118.47403,2013-10-26,,ca,BHZ,BHE,BHN,873
CI,JNH2,34.44894,-117.95541,2016-07-12,,ca,BHZ,BHE,BHN,1305
CI,JRC2,35.98249,-117.80885,2014-07-26,,ca,BHZ,BHE,BHN,1469
CI,LDR,34.9906,-118.34156,2016-08-24,,ca,BHZ,BHE,BHN,1121
CI,LJR,34.80762,-118.86775,2017-05-29,,ca,BHZ,BHE,BHN,1443
CI,LMR2,34.93439,-117.69629,2013-10-27,,ca,BHZ,BHE,BHN,964
CI,LPC,34.3148,-117.5464,2013-12-21,,ca,BHZ,BHE,BHN,1351
CI,LRL,35.47954,-117.68212,2013-12-22,,ca,BHZ,BHE,BHN,1340
CI,LRR2,34.52706,-118.02998,2013-12-23,,ca,BHZ,BHE,BHN,906
CI,LUC2,34.45638,-116.96423,2013-12-24,,ca,BHZ,BHE,BHN,886
CI,LUG,34.3656,-117.36683,2013-12-25,,ca,BHZ,BHE,BHN,1140
CI,MPM,36.05799,-117.48901,2013-12-26,,ca,BHZ,BHE,BHN,1839
CI,NBS,34.78035,-116.55798,2013-12-27,,ca,BHZ,BHE,BHN,590
CI,OSI,34.6145,-118.7235,2013-12-28,,ca,BHZ,BHE,BHN,718
CI,POR,36.10368,-119.00343,2013-12-29,,ca,BHZ,BHE,BHN,198
CI,RRX,34.87533,-116.99684,2013-12-30,,ca,BHZ,BHE,BHN,676.2
CI,SBB2,34.68844,-117.82424,2013-12-31,,ca,BHZ,BHE,BHN,825
CI,SBPX,34.2324,-117.23484,2014-01-01,,ca,BHZ,BHE,BHN,1860
CI,SHO,35.8996,-116.27515,2014-01-02,,ca,BHZ,BHE,BHN,451
CI,SLA,35.89095,-117.28332,2014-01-03,,ca,BHZ,BHE,BHN,1174
CI,SPG2,36.20057,-118.76624,2014-01-04,,ca,BHZ,BHE,BHN,627
CI,SRT,35.69235,-117.75051,2014-01-05,,ca,BHZ,BHE,BHN,667
CI,TA2,34.38203,-117.67822,2014-01-06,,ca,BHZ,BHE,BHN,2249
CI,TEH,35.2913,-118.42079,2014-01-07,,ca,BHZ,BHE,BHN,846
CI,TIN,37.05422,-118.23009,2014-01-08,,ca,BHZ,BHE,BHN,1197
CI,TOW2,35.80856,-117.76488,2014-01-09,,ca,BHZ,BHE,BHN,685
CI,TPO,34.87883,-118.22864,2014-01-10,,ca,BHZ,BHE,BHN,769
CI,TUQ,35.43584,-115.92389,2014-01-11,,ca,BHZ,BHE,BHN,1350
CI,VCS,34.48372,-118.11781,2014-01-12,,ca,BHZ,BHE,BHN,992
CI,VES,35.84089,-119.08469,2014-01-13,,ca,BHZ,BHE,BHN,154
CI,VTV,34.56065,-117.3296,2014-01-14,,ca,BHZ,BHE,BHN,843
CI,WAS2,35.7377,-118.55743,2014-01-15,,ca,BHZ,BHE,BHN,1828
CI,WBM,35.60839,-117.89049,2014-01-16,,ca,BHZ,BHE,BHN,892
CI,WBS,35.53664,-118.14035,2014-01-17,,ca,BHZ,BHE,BHN,1927
CI,WCS2,36.02521,-117.76526,2014-01-18,,ca,BHZ,BHE,BHN,1143
CI,WHF,35.69513,-118.35183,2014-01-19,,ca,BHZ,BHE,BHN,859
CI,WMF,36.11758,-117.85486,2014-01-20,,ca,BHZ,BHE,BHN,1537.4
CI,WOR,35.69563,-118.24246,2014-01-21,,ca,BHZ,BHE,BHN,795
CI,WRC2,35.9479,-117.65038,2014-01-22,,ca,BHZ,BHE,BHN,943
CI,AVM,35.06562,-116.61549,2017-06-18,,ca_test,BHZ,BHE,BHN,708.5
CI,CCA,35.15252,-118.01649,2017-06-15,,ca_test,BHZ,BHE,BHN,710
CI,CCC,35.52495,-117.36453,2018-06-22,,ca_test,BHZ,BHE,BHN,670
CI,CGO,36.5504,-117.80295,2014-08-09,,ca_test,BHZ,BHE,BHN,2795
CI,CWC,36.43988,-118.08016,2018-10-01,,ca_test,BHZ,BHE,BHN,1595
CI,DAW,36.27148,-117.59214,2018-10-01,,ca_test,BHZ,BHE,BHN,0
CI,DTP,35.26742,-117.84581,2018-10-16,,ca_test,BHZ,BHE,BHN,908
CI,EDW2,34.8811,-117.99388,2018-10-03,,ca_test,BHZ,BHE,BHN,772
CI,GSC,35.30177,-116.80574,2014-08-09,,ca_test,BHZ,BHE,BHN,1000
CI,HAR,35.0114,-117.29909,2015-12-31,,ca_test,BHZ,BHE,BHN,620
CI,HYS,34.86532,-117.56975,2018-11-08,,ca_test,BHZ,BHE,BHN,833
CI,ISA,35.66278,-118.47403,2013-10-26,,ca_test,BHZ,BHE,BHN,873
CI,LDR,34.9906,-118.34156,2016-08-24,,ca_test,BHZ,BHE,BHN,1121
CI,LMR2,34.93439,-117.69629,2013-10-27,,ca_test,BHZ,BHE,BHN,964
CI,LRL,35.47954,-117.68212,2013-12-22,,ca_test,BHZ,BHE,BHN,1340
CI,MPM,36.05799,-117.48901,2013-12-26,,ca_test,BHZ,BHE,BHN,1839
CI,RRX,34.87533,-116.99684,2013-12-30,,ca_test,BHZ,BHE,BHN,676.2
CI,SBB2,34.68844,-117.82424,2013-12-31,,ca_test,BHZ,BHE,BHN,825
CI,SLA,35.89095,-117.28332,2014-01-03,,ca_test,BHZ,BHE,BHN,1174
CI,SRT,35.69235,-117.75051,2014-01-05,,ca_test,BHZ,BHE,BHN,667
CI,TEH,35.2913,-118.42079,2014-01-07,,ca_test,BHZ,BHE,BHN,846
CI,TOW2,35.80856,-117.76488,2014-01-09,,ca_test,BHZ,BHE,BHN,685
CI,TPO,34.87883,-118.22864,2014-01-10,,ca_test,BHZ,BHE,BHN,769
CI,WAS2,35.7377,-118.55743,2014-01-15,,ca_test,BHZ,BHE,BHN,1828
CI,WBM,35.60839,-117.89049,2014-01-16,,ca_test,BHZ,BHE,BHN,892
CI,WBS,35.53664,-118.14035,2014-01-17,,ca_test,BHZ,BHE,BHN,1927
CI,WCS2,36.02521,-117.76526,2014-01-18,,ca_test,BHZ,BHE,BHN,1143
CI,WHF,35.69513,-118.35183,2014-01-19,,ca_test,BHZ,BHE,BHN,859
CI,WMF,36.11758,-117.85486,2014-01-20,,ca_test,BHZ,BHE,BHN,1537.4
CI,WOR,35.69563,-118.24246,2014-01-21,,ca_test,BHZ,BHE,BHN,795
CI,WRC2,35.9479,-117.65038,2014-01-22,,ca_test,BHZ,BHE,BHN,943
PB,B916,36.192501,-117.668503,2014-01-23,,ca_fewer,EHZ,EH1,EH2,1859.9
PB,B917,35.4053,-117.258797,2014-01-24,,ca_fewer,EHZ,EH1,EH2,1192
PB,B918,35.935699,-117.6017,2014-01-25,,ca_fewer,EHZ,EH1,EH2,1042.6
PB,B921,35.586498,-117.462196,2014-01-26,,ca_fewer,EHZ,EH1,EH2,694.5
NN,QSM,35.965,-116.869102,2014-01-27,,ca_fewer,HHZ,HHE,HHN,385
NN,GWY,36.186001,-116.6698,2014-01-28,,ca_fewer,HHZ,HHE,HHN,1538